number,value,datetime_start,datetime_complete,duration,params_cnn_out,params_fc_dropout,params_lr,params_lstm_hidden,state
0,29.333333333333332,2025-07-06 19:01:00.002365,2025-07-06 19:01:26.857997,0 days 00:00:26.855632,128,0.6,0.00038522986270672567,224,COMPLETE
1,8.0,2025-07-06 19:01:26.860388,2025-07-06 19:01:43.254144,0 days 00:00:16.393756,32,0.5,3.270122940920231e-05,160,COMPLETE
2,9.333333333333334,2025-07-06 19:01:43.254293,2025-07-06 19:02:07.555329,0 days 00:00:24.301036,128,0.30000000000000004,1.566299640638653e-05,224,COMPLETE
3,8.0,2025-07-06 19:02:07.555477,2025-07-06 19:02:22.630208,0 days 00:00:15.074731,32,0.30000000000000004,2.2691751887191844e-05,128,COMPLETE
4,9.333333333333334,2025-07-06 19:02:22.630352,2025-07-06 19:02:43.381052,0 days 00:00:20.750700,128,0.5,3.947382993707911e-05,128,COMPLETE
5,22.666666666666668,2025-07-06 19:02:43.381191,2025-07-06 19:03:07.727785,0 days 00:00:24.346594,128,0.30000000000000004,9.543684479159644e-05,224,COMPLETE
6,25.333333333333332,2025-07-06 19:03:07.727932,2025-07-06 19:03:30.888624,0 days 00:00:23.160692,128,0.30000000000000004,0.00013656413676433896,192,COMPLETE
7,8.0,2025-07-06 19:03:30.888790,2025-07-06 19:03:49.325882,0 days 00:00:18.437092,32,0.6,6.760006632949801e-05,224,COMPLETE
8,16.0,2025-07-06 19:03:49.326037,2025-07-06 19:04:11.117363,0 days 00:00:21.791326,32,0.4,2.2579003834912445e-05,256,COMPLETE
9,10.666666666666666,2025-07-06 19:04:11.117542,2025-07-06 19:04:33.731692,0 days 00:00:22.614150,64,0.30000000000000004,2.1709836972843864e-05,96,COMPLETE
10,22.666666666666668,2025-07-06 19:04:33.732344,2025-07-06 19:05:02.740830,0 days 00:00:29.008486,96,0.6,0.0004602777988505993,256,COMPLETE
11,37.333333333333336,2025-07-06 19:05:02.741043,2025-07-06 19:05:28.205725,0 days 00:00:25.464682,96,0.2,0.0003922123662425344,192,COMPLETE
12,32.0,2025-07-06 19:05:28.205903,2025-07-06 19:05:53.104372,0 days 00:00:24.898469,96,0.2,0.0004893442452540361,192,COMPLETE
13,32.0,2025-07-06 19:05:53.104564,2025-07-06 19:06:17.300560,0 days 00:00:24.195996,96,0.2,0.0002224661446189844,160,COMPLETE
14,38.666666666666664,2025-07-06 19:06:17.300756,2025-07-06 19:06:39.905682,0 days 00:00:22.604926,96,0.2,0.00025960251120103793,64,COMPLETE
